document_ID,firm_ID,time_of_earning_call
185.F,ABT,2013 Q1
186.F,ABT,2013 Q2
187.F,ABT,2013 Q3
188.F,ABT,2013 Q4
189.F,ABT,2014 Q1
190.F,ABT,2014 Q2
191.F,ABT,2014 Q3
192.F,ABT,2014 Q4
193.F,ABT,2015 Q1
194.F,ABT,2015 Q2
195.F,ABT,2015 Q3
196.F,ABT,2015 Q4
197.F,ABT,2016 Q1
198.F,ABT,2016 Q2
199.F,ABT,2016 Q3
200.F,ABT,2016 Q4
201.F,ABT,2017 Q1
202.F,ABT,2017 Q2
203.F,ABT,2017 Q3
204.F,ABT,2017 Q4
205.F,ABT,2018 Q1
206.F,ABT,2018 Q2
207.F,ABT,2018 Q3
208.F,ABT,2018 Q4
209.F,ABT,2019 Q1
210.F,ABT,2019 Q2
211.F,ABT,2019 Q3
212.F,ABT,2019 Q4
213.F,ABT,2020 Q1
214.F,ABT,2020 Q2
215.F,ABT,2020 Q3
216.F,ABT,2020 Q4
217.F,ABT,2021 Q1
218.F,ABT,2021 Q2
219.F,ABT,2021 Q3
220.F,ABT,2021 Q4
221.F,ABT,2022 Q1
222.F,ABT,2022 Q2
223.F,ABT,2022 Q3
224.F,ABT,2022 Q4
225.F,ABT,2023 Q1
226.F,ABT,2023 Q2
227.F,ABT,2023 Q3
228.F,ABT,2023 Q4
229.F,ACGL,2013 Q1
230.F,ACGL,2013 Q2
231.F,ACGL,2013 Q3
232.F,ACGL,2013 Q4
233.F,ACGL,2014 Q1
234.F,ACGL,2014 Q2
235.F,ACGL,2014 Q3
236.F,ACGL,2014 Q4
237.F,ACGL,2015 Q1
238.F,ACGL,2015 Q2
239.F,ACGL,2015 Q3
240.F,ACGL,2015 Q4
241.F,ACGL,2016 Q1
242.F,ACGL,2016 Q2
243.F,ACGL,2016 Q3
244.F,ACGL,2017 Q1
245.F,ACGL,2017 Q2
246.F,ACGL,2017 Q3
247.F,ACGL,2017 Q4
248.F,ACGL,2018 Q1
249.F,ACGL,2018 Q2
250.F,ACGL,2018 Q3
251.F,ACGL,2018 Q4
252.F,ACGL,2019 Q1
253.F,ACGL,2019 Q2
254.F,ACGL,2019 Q3
255.F,ACGL,2019 Q4
256.F,ACGL,2020 Q1
257.F,ACGL,2020 Q2
258.F,ACGL,2020 Q3
259.F,ACGL,2020 Q4
260.F,ACGL,2021 Q1
261.F,ACGL,2021 Q2
262.F,ACGL,2021 Q3
263.F,ACGL,2021 Q4
264.F,ACGL,2022 Q1
265.F,ACGL,2022 Q2
266.F,ACGL,2022 Q3
267.F,ACGL,2022 Q4
268.F,ACGL,2023 Q1
269.F,ACGL,2023 Q2
270.F,ACGL,2023 Q3
271.F,ACGL,2023 Q4
272.F,ADBE,2013 Q1
273.F,ADBE,2013 Q2
274.F,ADBE,2013 Q3
275.F,ADBE,2013 Q4
276.F,ADBE,2014 Q1
277.F,ADBE,2014 Q2
278.F,ADBE,2014 Q3
279.F,ADBE,2015 Q1
280.F,ADBE,2015 Q2
281.F,ADBE,2015 Q3
282.F,ADBE,2015 Q4
283.F,ADBE,2016 Q1
284.F,ADBE,2016 Q2
285.F,ADBE,2016 Q3
286.F,ADBE,2016 Q4
287.F,ADBE,2017 Q1
288.F,ADBE,2017 Q2
289.F,ADBE,2017 Q3
290.F,ADBE,2017 Q4
291.F,ADBE,2018 Q1
292.F,ADBE,2018 Q2
293.F,ADBE,2018 Q3
294.F,ADBE,2018 Q4
295.F,ADBE,2019 Q1
296.F,ADBE,2019 Q2
297.F,ADBE,2019 Q3
298.F,ADBE,2019 Q4
299.F,ADBE,2020 Q1
300.F,ADBE,2020 Q2
301.F,ADBE,2020 Q3
302.F,ADBE,2020 Q4
303.F,ADBE,2021 Q1
304.F,ADBE,2021 Q2
305.F,ADBE,2021 Q3
306.F,ADBE,2021 Q4
307.F,ADBE,2022 Q1
308.F,ADBE,2022 Q2
309.F,ADBE,2022 Q3
310.F,ADBE,2022 Q4
311.F,ADBE,2023 Q1
312.F,ADBE,2023 Q2
313.F,ADBE,2023 Q3
314.F,ADBE,2023 Q4
315.F,ADI,2013 Q1
316.F,ADI,2013 Q2
317.F,ADI,2013 Q3
318.F,ADI,2013 Q4
319.F,ADI,2014 Q1
320.F,ADI,2014 Q2
321.F,ADI,2014 Q3
322.F,ADI,2014 Q4
323.F,ADI,2015 Q1
324.F,ADI,2015 Q2
325.F,ADI,2015 Q3
326.F,ADI,2015 Q4
327.F,ADI,2016 Q1
328.F,ADI,2016 Q2
329.F,ADI,2016 Q3
330.F,ADI,2016 Q4
331.F,ADI,2017 Q1
332.F,ADI,2017 Q2
333.F,ADI,2017 Q3
334.F,ADI,2017 Q4
335.F,ADI,2018 Q1
336.F,ADI,2018 Q2
337.F,ADI,2018 Q3
338.F,ADI,2018 Q4
339.F,ADI,2019 Q1
340.F,ADI,2019 Q2
341.F,ADI,2019 Q3
342.F,ADI,2019 Q4
343.F,ADI,2020 Q1
344.F,ADI,2020 Q2
345.F,ADI,2020 Q3
346.F,ADI,2020 Q4
347.F,ADI,2021 Q1
348.F,ADI,2021 Q2
349.F,ADI,2021 Q3
350.F,ADI,2021 Q4
351.F,ADI,2022 Q1
352.F,ADI,2022 Q2
353.F,ADI,2022 Q3
354.F,ADI,2022 Q4
355.F,ADI,2023 Q1
356.F,ADI,2023 Q2
357.F,ADI,2023 Q3
358.F,ADI,2023 Q4
359.F,ADM,2013 Q1
360.F,ADM,2013 Q2
361.F,ADM,2013 Q3
362.F,ADM,2013 Q4
363.F,ADM,2014 Q1
364.F,ADM,2014 Q2
365.F,ADM,2014 Q3
366.F,ADM,2014 Q4
367.F,ADM,2015 Q1
368.F,ADM,2015 Q2
369.F,ADM,2015 Q3
370.F,ADM,2015 Q4
371.F,ADM,2016 Q1
372.F,ADM,2016 Q2
373.F,ADM,2016 Q3
374.F,ADM,2016 Q4
375.F,ADM,2017 Q1
376.F,ADM,2017 Q2
377.F,ADM,2017 Q3
378.F,ADM,2017 Q4
379.F,ADM,2018 Q1
380.F,ADM,2018 Q2
381.F,ADM,2018 Q3
382.F,ADM,2018 Q4
383.F,ADM,2019 Q1
384.F,ADM,2019 Q2
385.F,ADM,2019 Q3
386.F,ADM,2019 Q4
387.F,ADM,2020 Q1
388.F,ADM,2020 Q2
389.F,ADM,2020 Q4
390.F,ADM,2021 Q1
391.F,ADM,2021 Q2
392.F,ADM,2021 Q3
393.F,ADM,2021 Q4
394.F,ADM,2022 Q1
395.F,ADM,2022 Q2
396.F,ADM,2022 Q3
397.F,ADM,2022 Q4
398.F,ADM,2023 Q1
399.F,ADM,2023 Q2
400.F,ADM,2023 Q3
401.F,ADP,2013 Q1
402.F,ADP,2013 Q2
403.F,ADP,2013 Q3
404.F,ADP,2013 Q4
405.F,ADP,2014 Q1
406.F,ADP,2014 Q2
407.F,ADP,2014 Q3
408.F,ADP,2014 Q4
409.F,ADP,2015 Q1
410.F,ADP,2015 Q2
411.F,ADP,2015 Q3
412.F,ADP,2015 Q4
413.F,ADP,2016 Q1
414.F,ADP,2016 Q2
415.F,ADP,2016 Q3
416.F,ADP,2016 Q4
417.F,ADP,2017 Q1
418.F,ADP,2017 Q2
419.F,ADP,2017 Q3
420.F,ADP,2017 Q4
421.F,ADP,2018 Q1
422.F,ADP,2018 Q2
423.F,ADP,2018 Q3
424.F,ADP,2018 Q4
425.F,ADP,2019 Q1
426.F,ADP,2019 Q2
427.F,ADP,2019 Q3
428.F,ADP,2019 Q4
429.F,ADP,2020 Q1
430.F,ADP,2020 Q2
431.F,ADP,2020 Q3
432.F,ADP,2020 Q4
433.F,ADP,2021 Q1
434.F,ADP,2021 Q2
435.F,ADP,2021 Q3
436.F,ADP,2021 Q4
437.F,ADP,2022 Q1
438.F,ADP,2022 Q2
439.F,ADP,2022 Q3
440.F,ADP,2022 Q4
441.F,ADP,2023 Q1
442.F,ADP,2023 Q2
443.F,ADP,2023 Q3
444.F,ADP,2023 Q4
445.F,ADSK,2013 Q1
446.F,ADSK,2013 Q2
447.F,ADSK,2013 Q3
448.F,ADSK,2013 Q4
449.F,ADSK,2014 Q1
450.F,ADSK,2014 Q2
451.F,ADSK,2014 Q3
452.F,ADSK,2014 Q4
